NOMBRE,CATEGORIA_TIPOLOGIA,DOMICILIO,LATITUD,LONGITUD
CAPS OTTO KRAUSSE,Con atención médica diaria y con especialidades y/o otras profesiones,Barrio Otto Krausse,-39.1087,-66.99680000000001
CENTRO DE SALUD PASO CORDOVA,Con atención médica diaria y con especialidades y/o otras profesiones,Nazareno Ercolani 7001,-39.1055,-67.62043299999999
CENTRO DE SALUD BARRIO PADRE MARCELO GARDIN,Con atención médica general por lo menos 3 días de la semana,JUAN B. JUSTO 86,-39.1027,-67.0958
CONSULTORIO MEDICO EN PLANTA AGUA PESADA - ENSI,Con atención médica diaria y con especialidades y/o otras profesiones,PLANTA INDUSTRIAL DE AGUA PESADA,-39.102453,-68.59945500000003
HOSPITAL AREA PROGRAMA VILLA REGINA,Mediano riesgo con internación con cuidados especiales,Fray Luis Beltrán 496,-39.10196,-67.08438100000001
CENTRO DE HEMODIALISIS FRESENIUS MEDICAL CARE ARGENTINA S.A,Centro de Diálisis,PASO DE LOS PATOS 477,-39.1016744,-67.08583249999998
CENTRO DE SALUD BARRIO DON BOSCO (VILLA REGINA),Con atención médica general por lo menos 3 días de la semana,PRIMEROS POBLADORES Y C. SALESIANOS,-39.1014,-67.06515999999999
CENTRO DE SALUD VILLA ALBERDI,Con atención médica general por lo menos 3 días de la semana,DOCTOR OSCAR RUA 426,-39.10123,-67.08823000000001
CLINICA CENTRAL S.A.,Bajo riesgo con internación simple,General Bernardo De O higgins 109,-39.100928,-67.08618999999999
LABORATORIO DE ANALISIS CLINICOS ROJAS,Laboratorio de Análisis Clínicos,COLEGIO NACIONAL 7,-39.1008674,-67.08007829999997
LABORATORIO DE ANALISIS CLINICOS VALLE,Laboratorio de Análisis Clínicos,SAN MARTIN 430,-39.100347,-67.087806
LABORATORIO DE ANALISIS CLINICOS RIBES,Laboratorio de Análisis Clínicos,COLON 260,-39.0990954,-67.07096960000001
CONSULTORIOS MEDICOS CIDEF,Con atención médica diaria y con especialidades y/o otras profesiones,ITALIA 420,-39.097356,-67.07704799999999
SANATORIO Y MATERNIDAD CINCO SALTOS S.R.L.,Bajo riesgo con internación simple,Gral Jose De San Martin 150,-39.09596293630548,-67.32421875
HOGAR PARA PERSONAS DEPENDIENTES SAN AGUSTIN S.R.L.,Bajo riesgo con internación simple,SIN DATO,-39.09596293630548,-66.97265625
CENTRO DE ESPECIALIDADES MEDICAS - CEM,Con atención médica diaria y con especialidades y/o otras profesiones,LAS HERAS 15,-39.095958,-67.08778239999998
LABORATORIO DE ANALISIS CLINICOS CHIARLE,Laboratorio de Análisis Clínicos,IRIGOYEN 183,-39.094776,-67.08256499999999
CONSULTORIOS MEDICOS INSTITUTO MEDICO ALTO VALLE - IMAV,Con atención médica diaria y con especialidades y/o otras profesiones,Av Cipolletti 1021,-39.093908,-67.10003
CENTRO DE SALUD BARRIO NUEVO (VILLA REGINA),Con atención médica general por lo menos 3 días de la semana,Esmeralda,-39.0905375,-67.1189023
CENTRO DE SALUD MOSCONI,Con atención médica diaria y con especialidades y/o otras profesiones,ELIAS ZETONE Y MOSCONI,-39.089967,-67.59133300000002
CENTRO DE SALUD GENERAL ENRIQUE GODOY,Con atención médica diaria y con especialidades y/o otras profesiones,PASTEUR ENTRE BELGRANO E IRIGOYEN,-39.07828,-67.15894000000003
PUESTO SANITARIO ARROYITO,Con atención médica general por lo menos 3 días de la semana,RUTA 22 S/Nº,-39.07704247384314,-68.56636047363281
CENTRO DE SALUD LA RIVERA,Con atención médica diaria y con especialidades y/o otras profesiones,PRIMEROS POBLADORES S/N°,-39.0748,-67.57286699999997
HOSPITAL AREA PROGRAMA INGENIERO HUERGO,Bajo riesgo con internación simple,Río Negro 616,-39.0741,-67.23576000000003
CENTRO DE SALUD CUATRO GALPONES,Con atención médica diaria y con especialidades y/o otras profesiones,CHACRAS 169 ENTRE TRAFUL Y ADARO,-39.07,-67.65999999999997
CENTRO DE SALUD MAINQUE,Con atención médica general por lo menos 3 días de la semana,CALLE 19 Y CALLE 6,-39.06447,-67.30471
GERIATRICO RURAL TTE. ORIGONE,Bajo riesgo con internación simple,6 y9 S/N,-39.0597643939999,-62.5704820509999
PUESTO SANITARIO COLONIA FATIMA,Con atención médica general por lo menos 3 días de la semana,RUTA 22 KM 116,-39.05938,-67.394585
SALA MEDICA TENIENTE ORIGONE,Con atención médica diaria y con especialidades y/o otras profesiones,Teniente Origone S/N,-39.058833400537374,-62.57087230682373
SALA DE PRIMEROS AUXILIOS EDUARDO ROASSIO,Con atención médica diaria y con especialidades y/o otras profesiones,CALLE 3 E/8 Y 10 S/Nº,-39.0568850419999,-62.5705641879999
PUESTO SANITARIO CARRO QUEBRADO (POR NOMIVAC),Sin atención médica en forma periódica (menor a 3 veces por semana),"paraje Paso del Carro Quebrado, dependiente de área programa htal Zapala",-39.056517362860056,-69.98565673828125
PUESTO SANITARIO CHACRA MONTE,Con atención médica diaria y con especialidades y/o otras profesiones,ISMAEL BASSE ENTRE LAS JARILLAS Y LAS RETAMAS,-39.05399,-67.63292999999999
HOSPITAL AREA PROGRAMA CERVANTES,Bajo riesgo con internación simple,25 de Mayo 611,-39.05328069999999,-67.39645999999999
PUESTO SANITARIO LA AMARGA (POR NOMIVAC),Sin atención médica en forma periódica (menor a 3 veces por semana),"paraje La Amarga, dependiente área programa Htal Zapala",-39.05118518880596,-70.12710571289062
CENTRO DE SALUD STEFENELLI,Con atención médica diaria y con especialidades y/o otras profesiones,GENERAL LORENZO VINTTER 365,-39.0454276,-67.5419162
3 CONSULTORIOS ODONTOLOGICOS,Con atención médica diaria y con especialidades y/o otras profesiones,ESPAÑA 349,-39.0406109,-67.57974189999999
1 CONSULTORIO ODONTOLOGICO Y 1 CONSULTORIO MEDICO,Con atención médica diaria y con especialidades y/o otras profesiones,ITALIA Nº 476,-39.040285,-67.5754483
LABORATORIO DE PATOLOGIA GENERAL MUÑOA,Laboratorio de Anatomía patológica,ESPAÑA 630,-39.03797489999999,-67.57919070000003
3 CONSULTORIOS MEDICOS Y 2 QUIROFANOS OFTALMOLOGICOS AMBULATORIOS,Con atención médica diaria y con especialidades y/o otras profesiones,ESPAÑA 657,-39.0377294,-67.57913680000001
GERIATRICO - FABI,Bajo riesgo con internación simple,ESTADOS UNIDOS Nº 458,-39.037,-67.57282800000002
2 CONSULTORIOS MEDICOS - ATENCION INTEGRAL DEL ADOLESCENTE,Con atención médica diaria y con especialidades y/o otras profesiones,Córdoba 1284,-39.034039,-67.5671178
GERIATRICO SAN MARTIN,Bajo riesgo con internación simple,TRES ARROYOS 1812,-39.033929,-67.59105699999998
CONSULTORIOS DE PSICOLOGIA,Con atención médica diaria y con especialidades y/o otras profesiones,ARTIGAS 634,-39.033498,-67.57474400000001
CENTRO MEDICO LABORAL - PREVENCION A.R.T S.A.,Medicina Laboral,AVENIDA ROCA 1104,-39.033347,-67.57689800000003
CENTRO DE SALUD VILLA OBRERA,Con atención médica diaria y con especialidades y/o otras profesiones,DOCTOR ADOLFO ALSINA 2035,-39.0329904,-67.5878032
CONSULTORIOS SERMEL S.R.L,Con atención médica diaria y con especialidades y/o otras profesiones,RODHE 498,-39.032903,-67.57243
CLINICA HUMANA II PERTENECIENTE AL INSTITUTO RADIOLOGICO GENERAL ROCA SRL.,Con atención médica diaria y con especialidades y/o otras profesiones,RHODHE 586,-39.03273,-67.57365099999998
LABORATORIO DE ANALISIS CLINICOS INTEGRALES,Laboratorio de Análisis Clínicos,CHACABUCO 1476,-39.0327264,-67.569683
CONSULTORIOS DE ODONTOLOGIA - DERMATOLOGIA Y KINESIOLOGIA,Con atención médica diaria y con especialidades y/o otras profesiones,RODHE 636,-39.032722,-67.57437700000003
CONSULTORIOS ODONTOLOGICOS CHANDIA - POMPEI,Con atención médica diaria y con especialidades y/o otras profesiones,RODHE 575,-39.032704,-67.57350200000002
GERIATRICO CASA DE REPOSO DE LA 3º EDAD OLGA,Bajo riesgo con internación simple,NEUQUEN 1196,-39.0319902,-67.5822445
CONSULTORIOS MEDICOS - CLINICA DE OJOS ROMAN,Con atención médica diaria y con especialidades y/o otras profesiones,HIPOLITO IRIGOYEN 499,-39.0314784,-67.57222380000002
CONSULTORIO MEDICO Y ODONTOLOGICO STIHMPRA,Con atención médica diaria y con especialidades y/o otras profesiones,RESISTENCIA 1460,-39.031416,-67.55662000000001
3 CONSULTORIOS DE REHABILITACION - ENIA,Con atención médica diaria y con especialidades y/o otras profesiones,RIVADAVIA 810,-39.0311554,-67.59877829999999
LABORATORIO MICROBIOM,Laboratorio de Análisis Clínicos,DON BOSCO 1276,-39.0311206,-67.58077600000001
GERIATRICO RAYOS DE SOL,Bajo riesgo con internación simple,RIO NEGRO 1400,-39.0309754,-67.5596764
GERIATRICO - LA CASA DE JULIA,Bajo riesgo con internación simple,HIPOLITO IRIGOYEN 917,-39.030727,-67.57789500000001
LABORATORIO DE ANALISIS CLINICOS - 9 DE JULIO 81,Laboratorio de Análisis Clínicos,9 DE JULIO 81,-39.03063240000001,-67.56595749999997
LABORATORIO DE ANALISIS CLINICOS MORAGREGA SA,Laboratorio de Análisis Clínicos,Hipolito Yrigoyen 1083,-39.030466,-67.58047899999997
CENTRO DE ENFERMEDADES DIGESTIVAS S.R.L,Con atención médica diaria y con especialidades y/o otras profesiones,25 DE MAYO 326,-39.0303842,-67.57249279999996
LABORATORIO DE ANALISIS CLINICOS JAHDE,Laboratorio de Análisis Clínicos,9 DE JULIO 293,-39.0303183,-67.56913940000004
CONSULTORIOS MEDICOS Y ODONTOLOGICOS - CIROM,Con atención médica diaria y con especialidades y/o otras profesiones,AVENIDA MAIPU 1320,-39.030112,-67.57899399999997
CENTRO DE SALUD LAS ANGUSTIAS,Con atención médica general por lo menos 3 días de la semana,LA PLATA Y PUENTE CERO,-39.03,-67.50029999999998
SANATORIO JUAN XXIII S.R.L,Alto riesgo con terapia intensiva,Buenos Aires 1429,-39.029954,-67.57059800000002
PUESTO SANITARIO ÑIRECO - LAGUNA BLANCA (POR NOMIVAC),Sin atención médica en forma periódica (menor a 3 veces por semana),"paraje Laguna Blanca, dependiente área programa Htal Zapala",-39.029852466679316,-70.31387329101562
UGL XXVII - RIO NEGRO,Vacunatorios,9 DE JULIO Y BELGRANO,-39.0298274636171,-67.57156133651733
VACUNATORIO EN LA FARMACIA ESTUARDO ROMERO II,Vacunatorios,TUCUMAN 201,-39.029336,-67.56769099999997
GERIATRICO MAMA ELIDA,Bajo riesgo con internación simple,JUJUY 967,-39.0292053,-67.55191100000002
CONSULTORIOS MEDICOS - CENTRO MEDICO INTEGRAL ESPECIALIZADO,Con atención médica diaria y con especialidades y/o otras profesiones,TUCUMAN 323,-39.0291035,-67.5693028
2 CONSULTORIOS ODONTOLOGICOS - MIYAZATO,Con atención médica diaria y con especialidades y/o otras profesiones,LISANDRO DE LA TORRE Nº 78,-39.0290154,-67.56296800000001
CENTRO DE SALUD SANTA CRUZ,Con atención médica general por lo menos 3 días de la semana,RUMANIA 170,-39.0288382,-67.5396379
CLINICA ROCA S.A.,Alto riesgo con terapia intensiva,Mitre 310,-39.0281063,-67.56940250000002
4 CONSULTORIOS MEDICOS CENTRO DE TRAUMATOLOGIA ROCA S.R.L,Con atención médica diaria y con especialidades y/o otras profesiones,MITRE 384,-39.0280474,-67.5698286
2 CONSUITORIOS ODONTOLOGICOS,Con atención médica diaria y con especialidades y/o otras profesiones,MITRE 463,-39.0279499,-67.57064969999999
CENTRO TERAPEUTICO INTERDISCIPLINARIO DE REHABILITACION CEN.T.I.R.,Con atención médica diaria y con especialidades y/o otras profesiones,MITRE Nº 430,-39.027945,-67.57031599999999
GERIATRICO ADISAR,Bajo riesgo con internación simple,CHACABUCO Nº 1667,-39.027867,-67.56867699999998
LABORATORIO DE ANATOMIA PATOLOGICA,Laboratorio de Anatomía patológica,DON BOSCO 1570,-39.0277188402116,-67.5
CENTRO DE DIALISIS FRESENIUS MEDICAL CARE ARGENTINA S.A,Centro de Diálisis,SAN JUAN 1564,-39.0276518,-67.58775730000002
CONSULTORIOS ODONTOLOGICOS - COSENTINO,Con atención médica diaria y con especialidades y/o otras profesiones,BELGRANO 1641,-39.0274103,-67.5712494
LABORATORIO DE ANALISIS CLINICOS BEITIA,Laboratorio de Análisis Clínicos,DON BOSCO 1552,-39.027379,-67.5796939
CENTRO MEDICO LEMNOS,Con atención médica diaria y con especialidades y/o otras profesiones,BUENOS AIRES 1644,-39.02733,-67.56996500000002
LABORATORIO DE ANALISIS CLINICOS DOCTORES TRAVAGLINO,Laboratorio de Análisis Clínicos,TUCUMAN 1577,-39.0271567,-67.58575710000002
CONSULTORIOS ODONTOLOGICOS - C.O.R.E-,Con atención médica diaria y con especialidades y/o otras profesiones,SAN MARTIN 351,-39.02702,-67.56931199999997
CENTRO MEDICO FRANZ MEDARD,Con atención médica diaria y con especialidades y/o otras profesiones,SAN MARTÍN 538,-39.0267037,-67.5720217
CENTRO DE SALUD BARRIO COSTA OESTE,Con atención médica general por lo menos 3 días de la semana,ACCESO AMADEO BILIO HACIA EL SUR (AL RIO) CALLE 13,-39.0267,-67.84030000000001
CONSULTORIOS ODONTOLOGICOS - CENTRO DE ODONTOLOGIA E IMPLANTES -,Con atención médica diaria y con especialidades y/o otras profesiones,NEUQUEN 1666,-39.0263404,-67.581053
CENTRO INTEGRAL DE SALUD DON BOSCO,Con atención médica diaria y con especialidades y/o otras profesiones,DON BOSCO 1829,-39.0261193,-67.57959289999997
LABORATORIO DE ANALISIS CLINICOS,Laboratorio de Análisis Clínicos,VILLEGAS 302,-39.026057,-67.56823800000001
CONSULTORIOS DE PSICOLOGIA - ORIENTACION HUMANA,Con atención médica diaria y con especialidades y/o otras profesiones,DON BOSCO 1674,-39.02604040000001,-67.58023279999998
CENTRO MEDICO HOLOS,Con atención médica diaria y con especialidades y/o otras profesiones,BELGRANO 1799,-39.025791,-67.57101599999999
CONSULTORIO MEDICO Y ODONTOLOGICO,Con atención médica diaria y con especialidades y/o otras profesiones,MITRE 1671,-39.0256412,-67.5891191
LABORATORIO DE ANALISIS CLINICOS CENTRO DE JUBILADOS,Laboratorio de Análisis Clínicos,SAN MARTIN 1183,-39.0256126,-67.58044330000001
CONSULTORIOS ODONTOLOGICOS - ODONTHOS,Con atención médica diaria y con especialidades y/o otras profesiones,SAN MARTIN 1208,-39.0255225,-67.581412
AREA PROGRAMA ADANIL,Centro Rehabilitación motora,CHACABUCO 2175,-39.0254281,-67.5681472
CONSULTORIOS INDRA,Con atención médica diaria y con especialidades y/o otras profesiones,MORENO 692,-39.0243264,-67.57334709999998
CENTRO DE SALUD ISLAS MALVINAS,Con atención médica diaria y con especialidades y/o otras profesiones,Fotheringham e IRLANDA,-39.02271,-67.5333
UNIDAD INTEGRAL DE ONCOLOGIA FUMIC FUNDACION MEDICA INTERVENSIONISTA Y CANCER,Con atención médica diaria y con especialidades y/o otras profesiones,Avenida Roca 2121,-39.021806,-67.57425799999999
HOSPITAL FRANCISCO LOPEZ LIMA DE GENERAL ROCA,Alto riesgo con terapia intensiva,Gelonch 721,-39.021291,-67.573262
CENTRO DE SALUD J. J. GOMEZ,Con atención médica diaria y con especialidades y/o otras profesiones,TUCUMAN 5500 E IRENE NEYRA,-39.020633,-67.63871699999993
CONSULTORIOS DE TRAUMATOLOGIA C.E.T.A.C,Con atención médica diaria y con especialidades y/o otras profesiones,MITRE 196,-39.019912,-67.63689499999998
CENTRO DE SALUD DE CUIDADOS PALIATIVOS,Mediano riesgo con internación con cuidados especiales,San Luis 1558,-39.01912,-67.5848
CENTRO DE SALUD 250 VIVIENDAS,Con atención médica diaria y con especialidades y/o otras profesiones,PARANA 2481,-39.0191165,-67.55280519999997
UNIDAD 5 COLONIA PENAL DE GENERAL ROCA SUBPREFECTO MIGUEL ROCHA,Con guardia permanente,CALLE BUENOS AIRES S/N°,-39.0183,-67.5668
GERIATRICO MILAGROS DEL ANGEL,Bajo riesgo con internación simple,URQUIZA 2580,-39.0180015,-67.58653770000001
HTAL SENILLOSA - ADOLFO DEL VALLE,Bajo riesgo con internación simple,NEUQUÉN Y AV. BELGRANO,-39.013774307116186,-68.42560609999998
CENTRO DE SALUD NOROESTE,Con atención médica general por lo menos 3 días de la semana,PASAJE COLON 2855 Y SAN JUAN,-39.013,-67.5847
CENTRO DE SALUD BARRIO UNION,Con atención médica diaria y con especialidades y/o otras profesiones,RAMON TUERO 1149,-39.0080502,-64.09345510000003
CENTRO DE SALUD BARRIO NUEVO (GENERAL ROCA),Con atención médica diaria y con especialidades y/o otras profesiones,CHURRINCHE 1526 Y TORTOLITA - BARRIO NUEVO,-39.004011,-67.58184599999998
CENTRO DE SALUD GUERRICO,Con atención médica general por lo menos 3 días de la semana,RUTA PROVINCIAL 22 Y CALLE 4,-38.9998,-67.84629999999999
CENTRO DE SALUD BUENA PARADA,Con atención médica diaria y con especialidades y/o otras profesiones,ANTONIA BUSTAMANTE ENTRE 15 Y 16,-38.9997,-64.06990000000002
CENTRO DE SALUD VILLA MITRE,Con atención médica diaria y con especialidades y/o otras profesiones,LISANDRO DE LA TORRE Y MEXICO,-38.9965382,-64.08812969999997
CAPS SAUCE GRANDE,Con atención médica diaria y con especialidades y/o otras profesiones,Santa Clara del Mar N° 1656 e/ Monte Hermoso y Necochea,-38.9951070839999,-61.2132553109999
SALA DE PRIMEROS AUXILIOS PEHUEN CO,Con atención médica diaria y con especialidades y/o otras profesiones,VILLANUEVA Y ESPORA,-38.995029331,-61.5529742869999
SANATORIO Y MATERNIDAD CRUZ DEL SUR,Bajo riesgo con internación simple,Hipólito Irigoyen 510,-38.99413,-64.13003600000002
CENTRO MEDICO Y REHABILITACION - KINESIS,Con atención médica diaria y con especialidades y/o otras profesiones,Sarmiento 427,-38.993099,-64.09928300000001
LABORATORIO DE ANALISIS CLINICOS DEL ARCO,Laboratorio de Análisis Clínicos,REPUBLICA ESPAÑOLA 124,-38.99223,-64.095166
LABORATORIO DE ANALISIS CLINICOS - BIOLAB,Laboratorio de Análisis Clínicos,JUAN B. JUSTO 556,-38.9922256,-64.1007606
CENTRO DE SALUD MARIA ELVIRA - EX RIPIERA PALITO,Con atención médica diaria y con especialidades y/o otras profesiones,RUTA 22 Y CALLE 12 - COLONIA MARIA ELVIRA,-38.992,-67.96456999999998
CENTRO DE SALUD JULIA ECHARREN,Con atención médica diaria y con especialidades y/o otras profesiones,LORENZO JULIA 2115,-38.991,-64.096
PUESTO SANITARIO COSTANERA,Con atención médica diaria y con especialidades y/o otras profesiones,COSTANERA PRESIDENTE PERON Y PATAGONIA,-38.9891186999999,-61.2892474999999
UNIDAD SANITARIA SOCIEDAD DE FOMENTO MONTE HERMOSO,Con atención médica diaria y con especialidades y/o otras profesiones,Piedrabuena,-38.9885113629999,-61.3071312569999
HOSPITAL AREA PROGRAMA RIO COLORADO,Bajo riesgo con internación simple,República Española 551,-38.98786,-64.091564
LABORATORIO DE ANALISIS CLINICOS DE LAS DRAS. RODRIGUEZ MARIA ANDREA Y MANEIRO CAROLINA ERICA,Laboratorio de Análisis Clínicos,Faro Recalada 172,-38.9876172,-61.288725
CAPS BALSA LAS PERLAS,Con atención médica general por lo menos 3 días de la semana,PARAJE BALSA LAS PERLAS,-38.98336,-68.13902999999999
SERVICIO DE DIAGNOSTICO POR IMAGENES - DIAGNOSTIKAR S.R.L,Diagnostico por Imágenes,VELAZCO 50,-38.983063,-67.811283
PUESTO SANITARIO BARDA NEGRA OESTE (POR NOMIVAC),Sin atención médica en forma periódica (menor a 3 veces por semana),"paraje Barda Negra, dependiente de área programa Htal Zapala",-38.98289780817996,-69.93896484375
CONSULTORIOS INTEGRALES LOS CIPRESES,Con atención médica diaria y con especialidades y/o otras profesiones,LOS CIPRESES 245,-38.98219580000001,-67.80767809999998
CAPS BARRIO SAN MARTIN     ( MONTE HERMOSO),Con atención médica diaria y con especialidades y/o otras profesiones,AVDA SAN MARTIN y RIO ATUEL,-38.9812015159999,-61.2969104619999
HOSPITAL ESCUELA DE ODONTOLOGIA U.N.R.N - 40 CONSULTORIOS ODONTOLOGICOS -,Con atención médica diaria y con especialidades y/o otras profesiones,SAN MARTIN Y DR. SALK,-38.9804541,-67.81650000000002
HOSPITAL AREA PROGRAMA ALLEN,Bajo riesgo con internación simple,Ingeniero P. Quesnel S/N,-38.9804217,-67.82000690000001
UNIDAD SANITARIA MONTE HERMOSO,Con atención médica diaria y con especialidades y/o otras profesiones,Av. Pte. Raul Alfonsín (Ex Piedrabuena)  e/ Puerto Madryn y 1° de Abril,-38.98024150446579,-61.30672574043274
GERIATRICO DON ANTONIO,Bajo riesgo con internación simple,LIBERTAD 1195,-38.980022,-67.81156799999997
CENTRO DE DIA AMANECER,Centro de día,SAN MARTIN 750,-38.979966,-67.81992600000001
CENTRO PROVINCIAL DE ATENCION - MONTE HERMOSO (MONTE HERMOSO),Con atención médica general por lo menos 3 días de la semana,Raul Alfonsin y F. Deleusier,-38.9798489899999,-61.3065998379999
LABORATORIO DE ANALISIS CLINICOS ASTRA,Laboratorio de Análisis Clínicos,ROQUE SAENZ PEÑA 318,-38.9794134,-67.83330719999998
HOGAR ABUELOS,Bajo riesgo con internación simple,RIO COLORADO Y PUERTO MADRYN,-38.9794013999999,-61.3037635999999
CONSULTORIOS ODONTOLOGICOS - DIAZ,Con atención médica diaria y con especialidades y/o otras profesiones,JUJUY 53,-38.979322,-67.84047900000002
CONSULTORIOS MEDICOS,Con atención médica diaria y con especialidades y/o otras profesiones,SAN MARTIN Y SARMIENTO,-38.9790223,-67.8271461
HOSPITAL MUNICIPAL DR. RAMON CARRILLO,Bajo riesgo con internación simple,Roberto Zabala e/ 1° de Abril y Puerto Madryn,-38.9789805939999,-61.3020016779999
LABORATORIO DE ANALISIS CLINICOS.,Laboratorio de Análisis Clínicos,SAN MARTIN 37,-38.978657,-67.82969000000003
CENTRO INTEGRADO INTEGRADOR COMUNITARIO - MONTE HERMOSO,Con atención médica diaria y con especialidades y/o otras profesiones,RIO SALADO Y SARA CASEY,-38.9786173,-61.3122331
UNIDAD DE REFUERZO SANITARIO MONTE HERMOSO,Con atención médica diaria y con especialidades y/o otras profesiones,Río Dulce y 1 de Abril,-38.97859573811742,-61.30358459349994
LABORATORIO DE ANALISIS CLINICOS DR. GORDILLO,Laboratorio de Análisis Clínicos,MITRE 67,-38.978579,-67.82385799999997
CAPS JUBILADOS Y PENSIONADOS,Con atención médica diaria y con especialidades y/o otras profesiones,DUFAUR 1050,-38.9782194699999,-61.2902186159999
PUESTO SANITARIO ISLA 10,Sin atención médica en forma periódica (menor a 3 veces por semana),1 DE MAYO S/N° - RUTA PROVINCIAL 22,-38.9781,-67.93790000000001
CONSULTORIOS ALTHEA,Con atención médica diaria y con especialidades y/o otras profesiones,BELGRANO Nº 260,-38.97807,-67.83457099999998
LABORATORIO ANALISIS CLINICOS SILVANA PASCUAL,Laboratorio de Análisis Clínicos,Libertador 1155,-38.977375,-64.0818329
2 CONSULTORIOS DE OFTALMOLOGIA,Con atención médica diaria y con especialidades y/o otras profesiones,AVENIDA ROCA 57,-38.977204,-67.83009800000002
CAPS POLIDEPORTIVO MUNICIPAL MONTE HERMOSO,Con atención médica diaria y con especialidades y/o otras profesiones,ruta provincial 78 e/ saavedra Lamas y Ricardo Balbin,-38.9762947439999,-61.2886670459999
CENTRO DE SALUD TRES LUCES,Con atención médica general por lo menos 3 días de la semana,RUTA NACIONAL 22 Y CANAL PRINCIPAL A 50 METROS DE CABINA TELEFONICA,-38.97437,-67.95245
CENTRO DE SALUD PROGRESO,Con atención médica diaria y con especialidades y/o otras profesiones,Puerto Argentino S/N y Colombia,-38.9737,-67.81227000000001
"CIPSA, CONSULTORIOS INTEGRALES PARA LA SALUD",Con atención médica diaria y con especialidades y/o otras profesiones,Av. Olascoaga 1671,-38.9732237,-68.05952769999999
CENTRO TERAPEUTICO NEUQUEN METODO DR. RAVENNA,Con atención médica diaria y con especialidades y/o otras profesiones,Martín Fierro 121,-38.973214537725134,-68.06029200553894
CENTRO DE SALUD BARRIO BIFULCO,Con atención médica general por lo menos 3 días de la semana,Correntoso y Ex Combatiente Malvinas,-38.97304,-67.83469000000002
CENTRO DE SALUD DON BOSCO,Con atención médica general por lo menos 3 días de la semana,REMIGIO BOSCH Y AMINOGASTA,-38.9725999801409,-68.07683706064631
PUESTO SANITARIO CHINA MUERTA - COLONIA SAN FRANCISCO,Con atención médica general por lo menos 3 días de la semana,LOTE 7 FRACCION 3 PARAJE CHINA MUERTA,-38.9723554067159,-68.3294677734375
CENTRO DE SALUD SAN VALENTIN,Otros,Lago Mascardi y Cornelio Saavedra,-38.97181,-67.83026000000001
HOGAR DE ANCIANOS RESIDENCIA DEL NEUQUEN,Bajo riesgo con internación simple,Mejico 1481,-38.9709562,-68.04972190000001
CASA HOGAR LOS NONOS,Bajo riesgo con internación simple,Huilliches 1430,-38.9703613,-68.0486869
CONSULTORIOS DE PSICOLOGIA LIC. MOLINA,Con atención médica diaria y con especialidades y/o otras profesiones,Tartagal 61,-38.9699386,-68.05827959999999
LA ADELA,Con atención médica diaria y con especialidades y/o otras profesiones,PASAJE NEUQUEN 286,-38.969552732138496,-64.09629821777344
CONSULTORIO DE KINESIOLOGIA PURO PILATES,Centro Rehabilitación motora,Jose Fava 256,-38.9690161,-68.0629755
CONSULTORIOS FAVA,Con atención médica diaria y con especialidades y/o otras profesiones,José Fava 545,-38.9689875,-68.06694470000002
SALA COLONIA LA MERCED,Con atención médica diaria y con especialidades y/o otras profesiones,Colonia La Merced,-38.967484020242246,-62.601985931396484
CONSULTORIOS SUIZOS,Con atención médica diaria y con especialidades y/o otras profesiones,Ricardo Rojas 540,-38.9674176,-68.0516002
ASOCIACION PADRES DE PARALITICOS CEREBRALES,Con atención médica diaria y con especialidades y/o otras profesiones,Tunuyán 530,-38.9672523,-68.06684310000003
CENTRO DE SALUD EL CHACAY,Con atención médica general por lo menos 3 días de la semana,ENCINA MANUEL 929,-38.9670266,-68.2419673
CENTRO DE SALUD VILLA MARIA,Con atención médica general por lo menos 3 días de la semana,Dorrego,-38.9669529517714,-68.05891076939133
CENTRO DE SALUD VALENTINA SUR,Con atención médica diaria y con especialidades y/o otras profesiones,EL DORADO Y CONCEPCION,-38.9653024363168,-68.11826215543772
CENTRO DE SALUD VILLA FLORENCIA,Con atención médica diaria y con especialidades y/o otras profesiones,Intendente Mango 934,-38.9650099846625,-68.07167356418552
CONSULTORIOS VIVE,Con atención médica diaria y con especialidades y/o otras profesiones,Copahue 1423,-38.9649791,-68.03936149999998
CONSULTORIOS ODONTO - CARO - CARO,Con atención médica diaria y con especialidades y/o otras profesiones,INTENDENTE MANGO N° 850,-38.964163945031515,-68.07188987731934
GABINETE DE KINESIOLOGIA SAN IGNACIO,Centro Rehabilitación motora,Intendente Mango 834,-38.96406410000001,-68.07186109999998
CONSULTORIOS SAYEN,Con atención médica diaria y con especialidades y/o otras profesiones,Intendente Mango 824,-38.9639523,-68.07185809999999
CONSULTORIOS MEDICOS SINDICATO CHOFERES DE CAMIONES Y TRANSPORTES,Con atención médica diaria y con especialidades y/o otras profesiones,Leguizamón Onesimo 785,-38.963465,-68.067793
CENTRO MEDICO GENESIS,Con atención médica diaria y con especialidades y/o otras profesiones,Linares 691,-38.9626556,-68.04511079999997
CONSULTORIOS MANAR,Con atención médica diaria y con especialidades y/o otras profesiones,Teresa de Calcuta 754,-38.9625665,-68.23803929999997
CENTRO DE SALUD CONFLUENCIA,Con atención médica general por lo menos 3 días de la semana,TANDIL 598,-38.9616449138382,-68.03278124576622
CENTRO MEDICO AMULEN SRL,Con atención médica diaria y con especialidades y/o otras profesiones,Intendente Carro 1181,-38.961023,-68.0757317
